osmid,y,x,node_id
2320368479,37.7343937,-122.4408219,8431
2320396419,37.7400527,-122.4334527,8432
2320396427,37.7401389,-122.433803,8433
2320396492,37.7399054,-122.4336959,8434
2320396512,37.7400721,-122.4329372,8435
2320396530,37.7357049,-122.4389229,8436
2320396539,37.7399223,-122.4330847,8437
2325127186,37.7405232,-122.4595863,8438
2325127199,37.7406968,-122.4581593,8439
2325127205,37.7429619,-122.4553897,8440
2325127209,37.7451105,-122.452676,8441
2325127298,37.7400563,-122.4636329,8442
2325127300,37.7417703,-122.4564753,8443
2325127359,37.7405868,-122.4590151,8444
2327591309,37.7432579,-122.4091712,8445
2327650830,37.7389388,-122.4151621,8446
2327650831,37.7389498,-122.4152998,8447
2337590253,37.7423138,-122.4077619,8448
2339850868,37.7625548,-122.434064,8449
2351399563,37.7801962,-122.4270365,8450
2360832796,37.8046421,-122.4711474,8451
2371453143,37.7465216,-122.4326044,8452
2371453146,37.746604,-122.432612,8453
2381798128,37.7587763,-122.4168919,8454
2392273471,37.788339,-122.4853473,8455
2392273472,37.7876159,-122.485295,8456
2392274158,37.7894097,-122.486082,8457
2399950818,37.7451506,-122.4187979,8458
2399950819,37.7470541,-122.4381103,8459
2399950825,37.7397616,-122.4236722,8460
2399950829,37.7456031,-122.4198913,8461
2399950833,37.7481015,-122.4182761,8462
2399950856,37.7398681,-122.4236069,8463
2399952062,37.7440583,-122.4208899,8464
2420468425,37.7347645,-122.4679821,8465
2420468437,37.7349781,-122.4679974,8466
2420468442,37.7348643,-122.4681231,8467
2434149928,37.8036969,-122.467444,8468
2443845209,37.8107877,-122.3643871,8469
2445177276,37.7272324,-122.3690189,8470
2445177278,37.727328,-122.3708417,8471
2445177279,37.7278564,-122.3684567,8472
2445177280,37.7279235,-122.3702813,8473
2445177281,37.7284708,-122.3678945,8474
2445177282,37.7285524,-122.3696957,8475
2449296877,37.7319087,-122.4358939,8476
2449889397,37.7348381,-122.4324619,8477
2449915890,37.7313754,-122.4370248,8478
2449935556,37.7325523,-122.4301806,8479
2449935566,37.7326402,-122.4301936,8480
2449935575,37.7352719,-122.4248196,8481
2450003421,37.7088535,-122.4324827,8482
2450003428,37.7092131,-122.4319453,8483
2450003462,37.7150233,-122.4399276,8484
2450003465,37.714292,-122.4382977,8485
2450003478,37.709556,-122.4314082,8486
2450003537,37.7113721,-122.4319315,8487
2450004270,37.7136258,-122.4370919,8488
2450004276,37.7134737,-122.4365184,8489
2456072718,37.8187813,-122.34999,8490
2456072726,37.8138856,-122.3612098,8491
2456996785,37.7282351,-122.4787183,8492
2461023609,37.7933239,-122.4279972,8493
2463394104,37.7331515,-122.4656706,8494
2463394108,37.7332094,-122.4657308,8495
2467158016,37.7450494,-122.4652568,8496
2479321631,37.7548343,-122.4710555,8497
2479331520,37.7574148,-122.4720445,8498
2480394572,37.7230976,-122.4527376,8499
2480394574,37.7232356,-122.4528656,8500
2480394578,37.7234601,-122.4523278,8501
2480394580,37.7230087,-122.4523133,8502
2480394582,37.7231277,-122.4523209,8503
2480394584,37.7228933,-122.452227,8504
2481630307,37.7703458,-122.4368259,8505
2487283192,37.7239916,-122.4851404,8506
2487283194,37.7240727,-122.484976,8507
2487283195,37.7241031,-122.4851129,8508
2496389906,37.7815758,-122.4273148,8509
2511971962,37.7172999,-122.4416967,8510
2511971964,37.7177951,-122.4423132,8511
2511971979,37.7178584,-122.4423983,8512
2544027514,37.7332011,-122.4656124,8513
2548095086,37.7716684,-122.405868,8514
2548141867,37.7713034,-122.405446,8515
2548141868,37.7716025,-122.4058112,8516
2548141872,37.7725204,-122.4069946,8517
2568380114,37.7766783,-122.4246457,8518
2568380120,37.7757434,-122.4244963,8519
2577219735,37.7702976,-122.3959194,8520
2577219751,37.7703703,-122.396247,8521
2577219760,37.7706852,-122.395868,8522
2577219776,37.7703032,-122.3961431,8523
2577219795,37.7705278,-122.3962995,8524
2577774960,37.7178715,-122.4074597,8525
2600919806,37.731347,-122.4217465,8526
2607301927,37.7226325,-122.3954515,8527
2607301928,37.7230814,-122.3950425,8528
2609017284,37.7326355,-122.3842395,8529
2609017285,37.7326814,-122.3843389,8530
2609017287,37.7331106,-122.3851263,8531
2609017288,37.7331668,-122.3850469,8532
2609017289,37.7334362,-122.3845176,8533
2609017290,37.7352074,-122.3870565,8534
2609017292,37.735661,-122.3870954,8535
2609017295,37.7357314,-122.3872187,8536
2609017309,37.7366622,-122.3836771,8537
2624373700,37.7277972,-122.441959,8538
2624373701,37.7267455,-122.443671,8539
2624373705,37.7289467,-122.4429126,8540
2624373719,37.7283032,-122.4439255,8541
2624398928,37.7558276,-122.4710233,8542
2624399002,37.7551425,-122.4712232,8543
2624400903,37.7562933,-122.4736681,8544
2624400905,37.7561929,-122.4736587,8545
2630856793,37.7342588,-122.4992708,8546
2630856835,37.733773,-122.4975581,8547
2630856848,37.7351331,-122.5011365,8548
2630856883,37.7354091,-122.5031201,8549
2630856888,37.7355627,-122.5031302,8550
2631639721,37.7563712,-122.4706893,8551
2642129706,37.7690296,-122.4383676,8552
2642129711,37.7659529,-122.4426642,8553
2642129714,37.7618026,-122.4468086,8554
2642129716,37.7604226,-122.4463696,8555
2642129719,37.755541,-122.437769,8556
2642129722,37.7564188,-122.4401537,8557
2653206545,37.8073072,-122.4293132,8558
2671229961,37.7695577,-122.4160666,8559
2715894998,37.7229867,-122.4836003,8560
2716299656,37.7236596,-122.4803927,8561
2726255230,37.7254459,-122.4806158,8562
2726255253,37.7243995,-122.4770942,8563
2726269055,37.7237535,-122.4803678,8564
2726269066,37.7243391,-122.4767093,8565
2763295990,37.7748348,-122.4240999,8566
2768893484,37.7842796,-122.4764554,8567
2800130435,37.7559733,-122.4367704,8568
2800130439,37.756045,-122.4357077,8569
2802825839,37.7481267,-122.4082692,8570
2819241004,37.7777945,-122.4384292,8571
2837866829,37.7800989,-122.4550181,8572
2841581043,37.7709098,-122.4178962,8573
2845162690,37.7771638,-122.3907042,8574
2852184143,37.7576159,-122.4470838,8575
2875566748,37.7157278,-122.4272225,8576
2877005910,37.7731418,-122.3873605,8577
2882819847,37.8067049,-122.4734611,8578
2899908787,37.7108677,-122.4685064,8579
2899908796,37.7110964,-122.4682456,8580
2901059557,37.7129599,-122.4395913,8581
2907858297,37.7995616,-122.4349286,8582
2909552124,37.7203963,-122.475137,8583
2912242145,37.7150886,-122.500791,8584
2912242162,37.7686587,-122.510513,8585
2920416762,37.7277591,-122.3685443,8586
2920416778,37.7279657,-122.3683567,8587
2922128564,37.7665023,-122.3947384,8588
2922128566,37.7671089,-122.3861439,8589
2933665486,37.8051204,-122.447648,8590
2933667008,37.7514883,-122.4615415,8591
2933667009,37.7514285,-122.4614769,8592
2936165726,37.787577,-122.4065906,8593
2963661504,37.7335556,-122.4176167,8594
2971726062,37.8042167,-122.4542262,8595
2980617845,37.8029702,-122.4371871,8596
2980617846,37.8031136,-122.436885,8597
2983686934,37.7465494,-122.420153,8598
3066641490,37.7661684,-122.4785136,8599
3112129879,37.74581,-122.3853618,8600
3112129883,37.7490865,-122.3864572,8601
3117933951,37.7306081,-122.4389987,8602
3117933952,37.733403,-122.429433,8603
3117933958,37.7349834,-122.4399432,8604
3117933965,37.7333214,-122.430294,8605
3146838883,37.7141841,-122.4040961,8606
3170743426,37.7456581,-122.4525484,8607
3244682419,37.7793519,-122.5022176,8608
3279043480,37.7945297,-122.4785888,8609
3279043481,37.7938829,-122.4786279,8610
3301966840,37.7430201,-122.410072,8611
